StockCode,Description,Daily_Demand,Annual_Demand,Avg_Price,EOQ,Safety_Stock,Reorder_Point,Total_Revenue
22423,REGENCY CAKESTAND 3 TIER,39.94039735099338,14578.245033112584,12.461649175412294,765.0,75.0,355.0,277656.25
85123A,WHITE HANGING HEART T-LIGHT HOLDER,151.91556291390728,55449.18046357616,2.870665869218501,3108.0,262.0,1325.0,247048.01
23843,"PAPER CRAFT , LITTLE BIRDIE",134.0976821192053,48945.653973509936,2.08,3430.0,0.0,939.0,168469.6
85099B,JUMBO BAG RED RETROSPOT,122.88741721854305,44853.90728476821,1.9738697463082164,3371.0,273.0,1133.0,134307.44
84879,ASSORTED COLOUR BIRD ORNAMENT,129.52649006622516,47277.16887417219,1.6761515601783061,3755.0,431.0,1338.0,124351.86
47566,PARTY BUNTING,38.841059602649004,14176.986754966887,4.77291229742612,1219.0,88.0,360.0,103283.38
23166,MEDIUM CERAMIC TOP STORAGE JAR,129.0,47085.0,1.2203030303030302,4392.0,23019.0,23922.0,81416.73000000001
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,46.98675496688742,17150.165562913906,2.9196085204375364,1714.0,211.0,540.0,76598.18000000001
79321,CHILLI LIGHTS,24.57450331125828,8969.693708609271,5.146038961038961,934.0,161.0,333.0,69084.3
85099F,JUMBO BAG STRAWBERRY,59.341059602649004,21659.486754966885,1.9569180327868854,2352.0,233.0,648.0,64127.77
21137,BLACK RECORD COVER FRAME,30.491721854304636,11129.478476821192,3.6303696857670977,1238.0,348.0,561.0,63092.12
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,47.36092715231788,17286.738410596026,2.5669636363636363,1835.0,1888.0,2220.0,55880.17
82484,WOOD BLACK BOARD ANT WHITE FINISH,16.02317880794702,5848.460264900662,6.962461832061068,648.0,161.0,273.0,54525.36
21621,VINTAGE UNION JACK BUNTING,10.756622516556291,3926.167218543046,8.499444933920705,481.0,75.0,150.0,54432.62
15056N,EDWARDIAN PARASOL NATURAL,18.125827814569536,6615.92715231788,5.787598152424943,756.0,177.0,304.0,54332.61
85099C,JUMBO  BAG BAROQUE BLACK WHITE,47.84602649006622,17463.79966887417,1.9575478142076501,2112.0,170.0,505.0,52188.18
23084,RABBIT NIGHT LIGHT,44.955298013245034,16408.683774834437,2.0127703523693805,2019.0,602.0,917.0,51251.24
22470,HEART OF WICKER LARGE,28.31788079470199,10336.026490066226,2.944598990465508,1325.0,187.0,385.0,49859.5
21733,RED HANGING HEART T-LIGHT HOLDER,28.52317880794702,10410.960264900663,2.9157650602409637,1336.0,134.0,334.0,48850.6
21931,JUMBO STORAGE BAG SUKI,42.996688741721854,15693.791390728476,1.9728645833333334,1994.0,115.0,416.0,47760.99
22189,CREAM HEART CARD HOLDER,26.40066225165563,9636.241721854305,3.8781657848324516,1115.0,281.0,466.0,47414.200000000004
15056BL,EDWARDIAN PARASOL BLACK,15.4817880794702,5650.852649006622,5.794080100125157,698.0,190.0,298.0,45885.07
22178,VICTORIAN GLASS HANGING T-LIGHT,61.730132450331126,22531.498344370862,1.3451874573960465,2894.0,257.0,689.0,45746.75
22112,CHOCOLATE HOT WATER BOTTLE,16.397350993377483,5985.0331125827815,4.878344733242134,783.0,47.0,162.0,45601.340000000004
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,40.223509933774835,14681.581125827815,1.980715552927262,1925.0,125.0,407.0,45059.13
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,27.266556291390728,9952.293046357616,2.9220930232558144,1305.0,102.0,293.0,44998.270000000004
21623,VINTAGE UNION JACK MEMOBOARD,10.140728476821192,3701.365894039735,9.774549098196394,435.0,247.0,318.0,44785.83
21181,PLEASE ONE PERSON METAL SIGN,37.05132450331126,13523.733443708608,2.0730530035335692,1806.0,140.0,399.0,44310.600000000006
22386,JUMBO BAG PINK POLKADOT,39.026490066225165,14244.668874172185,2.0029119850187267,1886.0,231.0,504.0,43319.16
22469,HEART OF WICKER SMALL,43.365894039735096,15828.55132450331,1.6381823174080175,2198.0,214.0,518.0,43316.54
21929,JUMBO BAG PINK VINTAGE PAISLEY,39.913907284768214,14568.576158940397,1.9750485436893204,1920.0,173.0,452.0,43313.9
22138,BAKING SET 9 PIECE RETROSPOT ,14.958609271523178,5459.89238410596,4.9517741015402175,743.0,63.0,168.0,43070.91
21843,RED RETROSPOT CAKE STAND,7.1158940397351,2597.301324503311,10.869421319796954,346.0,57.0,107.0,42862.74
22111,SCOTTIE DOG HOT WATER BOTTLE,15.052980132450331,5494.337748344371,4.893550577053632,749.0,70.0,175.0,42463.200000000004
21754,HOME BUILDING BLOCK WORD,11.971854304635762,4369.726821192054,5.963963282937365,605.0,17.0,101.0,42453.11
21731,RED TOADSTOOL LED NIGHT LIGHT,44.870860927152314,16377.864238410595,1.6490377358490567,2228.0,265.0,579.0,41824.26
21175,GIN + TONIC DIET METAL SIGN,32.70695364238411,11938.0380794702,2.259413027916965,1625.0,345.0,574.0,40940.78
22457,NATURAL SLATE HEART CHALKBOARD ,23.48841059602649,8573.269867549669,2.9584354154032746,1204.0,85.0,249.0,40276.170000000006
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24.221854304635762,8840.976821192053,2.9324567474048444,1228.0,134.0,304.0,40219.82
